Hole SNR1 SNR2 SNR3 SNR4 HasAlignment
11076504 13.0394 8.78913 13.0135 6.87909 True
11141298 13.1703 8.69904 12.0033 6.42863 True
11141301 15.3179 9.57794 15.4804 8.09672 True
11141303 15.4755 11.9251 13.475 8.19814 True
11141305 14.9684 9.70677 12.0984 6.48639 True
11141307 12.961 8.63442 11.706 6.26465 True
11141308 11.5797 6.83857 10.3948 5.03263 True
11141310 13.3696 8.45781 11.1536 6.28542 True
11141312 8.4646 5.40648 2.52931 1.34576 False
11141314 14.9749 9.42207 12.2555 6.58207 True
11141320 15.1667 8.96263 13.1849 6.5017 True
11141322 12.5316 8.25088 12.3172 6.47052 True
11141323 11.5619 7.38713 10.5326 5.59913 True
11141325 10.1537 8.09998 8.73752 5.22528 True
11141327 12.6442 5.11117 9.5763 4.17702 False
11141536 10.8362 6.00088 6.66517 3.31248 True
11141539 13.1155 8.31789 12.769 6.68531 True
11141545 17.1155 11.4494 15.8535 8.49715 True
11141547 4.15598 2.73713 3.46127 1.98617 False
11141553 14.194 8.97581 13.809 7.26118 True
11141557 15.5227 9.57991 12.0334 6.23612 True
11141558 12.0561 7.77264 11.5576 6.36812 True
11141563 12.9915 8.50718 11.8251 6.25804 True
11141565 15.7792 9.89575 11.096 5.93221 True
11141776 13.6246 9.00724 12.4391 6.68021 True
11141778 13.6943 9.04138 12.7178 6.76028 True
11141780 14.8248 9.96347 12.9952 7.12147 True
11141782 13.5566 9.026 14.2831 8.15131 True
11141785 12.262 6.66525 6.1042 2.76507 False
11141789 4.7509 3.01915 3.7031 2.04189 False
11141790 9.93934 6.1274 10.8785 5.69138 False
11141791 14.7215 9.68141 12.6619 6.61187 True
11141792 14.6581 9.73274 13.5049 7.22367 True
11141794 15.5218 10.2911 13.6245 7.32034 True
11141795 13.8237 9.1312 12.0184 6.38899 True
11141797 12.9463 8.70227 12.6374 6.75668 True
11141800 12.3945 8.14804 12.4348 6.68707 True
11141801 12.9873 8.42477 12.9669 6.63025 True
11141806 12.0525 8.02168 11.6907 6.28899 True
11141807 7.32618 4.23044 5.16472 2.1805 False
11142018 10.7468 5.72494 7.38304 2.39466 False
11142025 13.8018 6.32773 7.10956 3.94553 False
11142031 13.6763 8.93762 12.763 6.82488 True
11142033 15.1822 9.63054 14.3962 7.59989 True
11142034 13.8167 9.10767 9.571 5.3703 True
11142035 14.5368 9.60771 12.2857 6.14788 True
11142036 12.8434 8.22227 13.5974 7.54326 True
11142047 6.66022 4.16216 4.5712 2.44993 True
11206835 10.5804 6.85078 7.91832 3.89427 False
11206837 4.32644 2.80321 3.92521 2.05951 False
11206839 13.3897 8.78141 12.3477 6.48091 True
11206841 11.4187 6.31787 9.03263 4.42945 False
11206842 12.1949 7.49785 11.6717 5.80357 False
11206844 12.4168 8.23815 12.2906 6.70927 True
11206846 19.734 12.3702 17.7786 8.89876 False
11206849 8.73823 5.47181 10.7224 5.32577 True
11206853 13.1115 8.72957 10.9429 5.8669 True
11206854 13.2782 8.83821 12.0004 6.53435 True
11206856 6.50992 3.73759 4.52199 2.32501 False
11206857 13.4719 8.7781 12.9344 6.90358 True
11206860 11.9168 8.01436 10.7842 5.56389 True
11206861 10.9908 7.30884 11.7411 6.16378 True
11206863 10.9663 6.65486 11.8805 6.35701 True
11207073 14.4466 8.9108 10.5808 5.25554 True
11207074 14.4812 9.48468 14.1874 7.56174 True
11207076 13.6501 9.03507 10.9037 5.8368 True
11207077 11.5374 7.76151 12.3651 6.71087 True
11207078 12.9549 7.97556 12.9521 6.14195 True
11207081 12.9009 8.45297 10.3643 5.77512 True
11207082 13.1496 8.64722 12.0112 6.41402 True
11207084 14.7322 9.58457 12.4009 6.65288 True
11207085 8.86611 5.77645 7.9701 4.01251 True
11207087 11.9311 7.58967 11.0751 5.92698 True
11207092 13.6211 8.27283 12.3398 6.02651 True
11207093 11.8129 7.57706 10.3073 5.54338 False
11207096 13.1045 8.37454 12.001 6.38358 True
11207312 15.2187 10.0372 13.8332 7.36705 True
11207313 5.54776 3.6335 3.48422 2.37822 False
11207314 12.7185 8.15298 9.49227 4.22055 True
11207316 13.3341 8.66459 13.0611 7.21289 True
11207319 14.6849 9.66786 12.9958 6.96828 True
11207322 14.0349 9.16877 12.7734 6.87987 True
11207323 14.2576 9.37666 14.0689 7.63739 True
11207329 10.6969 6.09846 9.76379 4.74485 False
11207330 13.4153 8.52425 11.1123 5.72581 True
11207333 13.8553 9.17931 11.3729 6.21942 True
11207334 9.43857 5.88673 9.01421 5.07748 True
11207338 14.2942 9.13465 14.1519 7.71229 True
11207339 13.4859 8.96416 13.422 7.16835 True
11207342 16.1035 9.84221 13.1351 6.98474 False
11207343 12.9488 9.03036 9.95448 5.76315 False
11207552 14.1044 9.47447 12.5519 6.76702 True
11207554 14.8258 9.79074 15.2383 8.13151 True
11207560 7.67121 4.933 5.31284 2.76767 True
